neu7.edu.cn,202.118.1.30,202.118.1.54,yes,yes
neu8.edu.cn,202.118.1.31,202.118.1.55,yes,yes
neu9.edu.cn,202.118.1.32,202.118.1.56,yes,yes
neu10.edu.cn,202.118.1.33,202.118.1.57,yes,yes
neu11.edu.cn,202.118.1.34,202.118.1.58,yes,yes
neu12.edu.cn,202.118.1.35,202.118.1.59,yes,yes
neu13.edu.cn,202.118.1.36,202.118.1.60,yes,yes
neu14.edu.cn,202.118.1.37,202.118.1.61,yes,yes
neu15.edu.cn,202.118.1.38,202.118.1.62,yes,yes
neu16.edu.cn,202.118.1.39,202.118.1.63,yes,yes
neu17.edu.cn,202.118.1.40,202.118.1.64,yes,
neu18.edu.cn,202.118.1.41,202.118.1.65,yes,
neu19.edu.cn,202.118.1.42,202.118.1.66,yes,
neu20.edu.cn,202.118.1.43,202.118.1.67,yes,
neu21.edu.cn,202.118.1.44,202.118.1.68,yes,
neu22.edu.cn,202.118.1.45,202.118.1.69,yes,
neu23.edu.cn,202.118.1.46,202.118.1.70,yes,
neu24.edu.cn,202.118.1.47,202.118.1.71,yes,
neu25.edu.cn,202.118.1.48,202.118.1.72,yes,
neu26.edu.cn,202.118.1.49,202.118.1.73,yes,
neu27.edu.cn,202.118.1.50,202.118.1.74,,
neu28.edu.cn,202.118.1.51,202.118.1.75,,
neu29.edu.cn,202.118.1.52,202.118.1.76,,
neu30.edu.cn,202.118.1.53,202.118.1.77,,
neu31.edu.cn,202.118.1.54,202.118.1.78,,
neu32.edu.cn,202.118.1.55,202.118.1.79,,
